number,name,username,label,label_number
1,Carmelo Anthony,carmeloanthony,Athlete,1
2,Lebron James,KingJames,Athlete,1
3,James Harden,JHarden13,Athlete,1
4,Kevin Durant,KDTrey5,Athlete,1
5,Katy Perry,katyperry,Musician,2
6,Justin Bieber,justinbieber,Musician,2
7,Justin Timberlake,jtimberlake,Musician,2
8,Taylor Swift,taylorswift13,Musician,2
9,Jim Carrey,JimCarrey,Comedian,3
10,Louis C.K,louisck,Comedian,3
11,Jimmy Fallon,jimmyfallon,Comedian,3
12,Conan O'Brien,ConanOBrien,Comedian,3
13,PNC  News,PNCNews,Finance/Econ News,4
14,Financial Times,FT,Finance/Econ News,4
15,Forbes,Forbes,Finance/Econ News,4
16,The Economist,TheEconomist,Finance/Econ News,4
17,,,,5
18,,,,5
19,,,,5
20,,,,5
